algorithm,noise,group,r2_mean,r2_std,r2_valid_count,total_count,recovery_rate,complexity_mean,complexity_std,complexity_count,seconds_mean,seconds_std,seconds_count
gomea,0.0,Feynman,0.9585556722689075,0.16219024263889104,118,119,0.9411764705882353,22.96638655462185,5.151377025838841,119,2020.8015126050425,27.673254194474968,119
gomea,0.0,Strogatz,0.8883782142857143,0.2601551315438482,14,14,0.8571428571428571,22.142857142857142,5.396521933578315,14,2040.5400000000002,30.44072178607373,14
gomea,0.0,Black-box,0.6878294492753623,0.2728695995070383,130,138,0.1956521739130435,23.81954887218045,3.753363577159606,133,2013.165864661654,23.54073060006192,133
gomea,0.1,Feynman,0.8944264033613446,0.18325183110765328,118,119,0.8067226890756303,26.554621848739497,3.4536486101727037,119,2017.9663025210084,24.832890999726146,119
gomea,0.1,Strogatz,0.9116316428571426,0.19397239430673308,14,14,0.8571428571428571,24.071428571428573,4.148395313066173,14,2029.6714285714284,27.659757476765247,14
gomea,0.1,Black-box,0.6079101428571428,0.2932301701788588,123,140,0.09285714285714286,23.45985401459854,4.33457429112221,137,2014.450437956204,25.131972914634396,137
gomea,0.01,Feynman,0.9623628991596639,0.14962635525309695,118,119,0.9411764705882353,25.781512605042018,4.229070390462681,119,2022.6364705882352,30.21192136533641,119
gomea,0.01,Strogatz,0.9227522857142857,0.2007058758989057,14,14,0.7857142857142857,24.071428571428573,5.020874791654278,14,2017.552857142857,18.813221577455842,14
gomea,0.01,Black-box,0.6815102317880793,0.2703901684871497,144,151,0.17880794701986755,23.722972972972972,4.36791270880062,148,2013.0107432432435,16.319432459461975,148
gomea,0.001,Feynman,0.9566835966386553,0.15651398270696226,119,119,0.9243697478991597,25.57983193277311,4.465546534759922,119,2017.2689915966384,22.59094581013747,119
gomea,0.001,Strogatz,0.9179020000000001,0.23016274916830975,14,14,0.8571428571428571,23.428571428571427,5.233331166861201,14,2027.3007142857143,29.274148630852224,14
gomea,0.001,Black-box,0.6848479352517985,0.263385762210456,130,139,0.18705035971223022,23.404411764705884,4.414845737879564,136,2012.878382352941,16.978225900728223,136
