algorithm,dataset,status,n_features,n_rows,r2,rmse,complexity,seconds,error,expression
gomea,1027_ESL,ok,4,200,0.863376,0.514831,18,612.59,,(1.989504*x2 + 0.384098*(x2*(x1 + 14.663) - 33.748)*(log(x0) - log(log(x0)))*log(log(x3)))/x2
gomea,1028_SWD,ok,10,200,0.226224,0.605855,31,605.22,,(0.177021*x2*x3 + x2*x5*(0.177021*x2 + 0.177021*x4 + 0.177021*x5*x7 + 0.177021*x6 + 0.177021*x8 + 0.177021*x9 + 0.177021*(x1 - x7)*(x3 - 1.606) + 1.276894861) - 0.177021*x3*x5)/(x2*x5)
gomea,1029_LEV,ok,4,200,0.596292,0.602774,26,607.53,,-0.02859*x0*x2*(x1 - x2)*log(-x1 + x3) - 0.02859*(x0 + log(x2) - 19.613)*(x1 + log(x3) - 11.128) + 5.903028
gomea,1030_ERA,ok,4,200,0.353205,1.492583,29,604.31,,(0.013723*x1**2*(x0 + x3) + x1**2*(x2 - 6.518)*(0.013723*x0*x2 + 0.013723*x1*(x0 + x1) + 1.845493) + 0.460653664*x3*(x2 - 6.518))/(x1**2*(x2 - 6.518))
gomea,1089_USCrime,ok,13,47,-317.598161,621.187048,31,606.92,,(-1.667159*x8*(-3722.497*x10*x2 + x9*(x12*x3 + 1925.871*x2)) + 335.309545*x9*(-x4*(x4 - x5) + x8*(x0 + x10*x2 + x6)))/(x9*(-x4*(x4 - x5) + x8*(x0 + x10*x2 + x6)))
gomea,1096_FacultySalaries,ok,4,50,0.938145,1.067634,28,604.38,,(0.771266542404473*x1**3*(-x1 + x3) + 1.655138*x1*x2*(x1 - x2)**(3/2) + x1*x2*(x1 - x3)*(1.655138*x3 + 7.10116957400004) + 1.655138*x2**2*(x1 - x3))/(x1*x2*(x1 - x3))
gomea,1191_BNG_pbc,ok,18,200,0.14686,950.963271,23,601.3,,58.009709*(log(x15) + log(x13 - x14) + 1)*(x0 + x10 + x5*x6 - log(x8)/2) - 293.409791
gomea,1193_BNG_lowbwt,ok,9,200,0.632095,489.866042,29,600.99,,2081.61532400000
gomea,1196_BNG_pharynx,ok,10,200,0.010356,308.833577,23,601.86,,-24.375768*(x0 + x2*x8 - x3)*(x2*x7 + x5 - x8) + 24.375768*log(x9/(x2*log(x7))) + 428.442559
gomea,1199_BNG_echoMonths,ok,9,200,0.530854,10.346857,25,602.98,,(-2.191581*x4 + x5*(-2.191581*x3 - 2.191581*x7 - 2.191581*(x0 + x5)*(x0 + x8) + 2.191581*sqrt(x4 - x6) - 2.191581*log(57.271 - x1) + 37.816292))/x5
gomea,1201_BNG_breastTumor,ok,9,200,0.169154,10.676042,16,601.02,,2.587167*log(x3/log(x4) + x8/log(x4))/log(124.709*x2 + x5 - 120.421) + 21.751815
gomea,1203_BNG_pwLinear,ok,10,200,0.134237,3.907887,26,603.13,,0.924812*x3*x5 + 0.924812*x4 + 0.924812*x5*x8*(x2 + x4) - 0.924812*(x0 - 0.493963561409139*I)*(x1 + 2*x2 + 2.979) - 1.529347
gomea,1595_poker,ok,10,200,0.653838,0.84124,31,622.83,,0.341918000000000
gomea,192_vineyard,ok,2,52,0.13981,4.007842,22,601.76,,3.171876*x0*log(13.38/x1) - 10.2003064214428*log(13.38/x1) + 20.155827 - 1.585938/(x0*log(x0 - 4.456))
gomea,197_cpu_act,ok,21,200,0.872726,7.325528,21,613.63,,-0.551414*x14*x6/(sqrt(x15)*log(x17)) - 0.551414*sqrt(x15)*x9/log(x17) - 0.551414*sqrt(x16*x2/sqrt(x20)) + 96.005837
gomea,201_pol,ok,48,200,0.708283,20.832703,25,601.19,,(-55.365169*(x19 + x8)*(x24 + x5)*(x30 + x6)*(x4 + x5) + 1150627016.759778*sqrt(x3 + x5) - 1150627016.759778*sqrt(x4 - x7))/((x19 + x8)*(x24 + x5)*(x30 + x6)*(x4 + x5))
gomea,210_cloud,ok,5,108,0.952213,0.272241,25,602.53,,0.424682*x2 - 0.0186969270053711*x3**3/log(x4) + 0.0186969270053711*x3**2*x4/log(x4) + 0.849364*x3 - 0.424682*x3/sqrt(x4) - 0.424682*sqrt(x4) + 0.438024
gomea,215_2dplanes,ok,10,200,0.85633,1.23944,29,601.51,,0.333413*(2*x0 + 2.135)*(2*x1 + x2 + x3) - 0.333413*(2.378*x0 + x4 + x5)*(2.796*x0 + x4 - 3.791) + 2.344705
gomea,218_house_8L,ok,8,200,0.407216,37151.901822,27,601.73,,(-2490189.497653*x1*(x1 - x2)*(x2*(log(x3)*log(x4) - log(x7)) + x4) + 28659.003866*x2*x6*(sqrt(x1) + x4*x7))/(x2*x6*(sqrt(x1) + x4*x7))
gomea,225_puma8NH,ok,8,200,0.454201,4.211627,28,602.73,,-0.221321*(x1*x2 - 2.40856799175486)*((x1 + x2)*(x2 + 7.851) - (x1 - x5)*(x1 - x7)) + 1.954144
