algorithm,dataset,status,n_features,n_rows,r2,rmse,complexity,seconds,error,expression
gomea,1027_ESL,ok,4,200,0.882724,0.477208,20,2008.44,,0.112239*(2*x1 + x2 + 7.411)*log((x2*(x0 + x2) - 10.416)/x2)*log(log(x3)) + 2.207502
gomea,1028_SWD,ok,10,200,-0.017274,0.69447,30,2002.72,,(0.09527*x1*x2*(x1 - x7*log(x4))*(x3 - 1.787) + x2*x7**2*(0.09527*x4 + 0.09527*x5*x6 + 0.09527*x7 + 0.09527*x8*x9 + 3.434447) - 1.36798193*x7**2)/(x2*x7**2)
gomea,1029_LEV,ok,4,200,0.638676,0.570033,22,2005.36,,0.283732*x0 + 0.567464*x1 + 0.283732*log(x2) + 0.283732*log(x3) - 0.283732*log(-1.31*x1 + x3 - 3.023) + 0.0704103080000005
gomea,1030_ERA,ok,4,200,0.369279,1.474102,28,2003.72,,(x1*(0.012718*x0*x1 + 0.012718*x0*x2 + 0.012718*x1**2 + 1.906918) + 0.012718*x3*(x2 + 14.019)*log(x1 - 4.781))/x1
gomea,1089_USCrime,ok,13,47,0.574524,22.712715,30,2003.98,,-1.527057194*x3*(x1 - x10*x2 + x12)/(x0 + x6) + 349.777081 + 61046.255104373/((x12 + x8)*(x10 - x5 + 7.72667350592065 + I*pi))
gomea,1096_FacultySalaries,ok,4,50,0.713078,2.300972,21,2031.24,,(-4.764492*x2 + 4.764492*x3 + (x1 - x3)*(0.953229568850966*x3 + 4.764492*(x1 - 66.9)**(1/4) + 2.4257238879147))/(x1 - x3)
gomea,1191_BNG_pbc,ok,18,200,0.289053,868.185285,20,2002.98,,679.091163*x0 + 679.091163*x10 + 679.091163*sqrt(x17)*x5*x6 - 679.091163*x3 - 679.091163*sqrt(x0*x6 + log(x8)) - 221.024912
gomea,1193_BNG_lowbwt,ok,9,200,0.610723,504.274274,23,2027.07,,335.888448*log(x0/x1) + 335.888448*log(-x0 + x3) + 3125.308375
gomea,1196_BNG_pharynx,ok,10,200,0.450817,229.96398,25,2010.89,,1.8e-5*x0/log(-x2 + x6) - 1.8e-5*x5/log(-x2 + x6) - 3.6e-5*x7/log(x1 - x6) + 1.8e-5*x8**2/log(-x2 + x6) + 0.000604962*x9/log(x1 - x6) + 384.254033
gomea,1199_BNG_echoMonths,ok,9,200,0.530863,10.34817,24,2020.49,,-2.541166*sqrt(x4) + 2.541166*x5 - 2.541166*x7 - 2.541166*(x0 + x8)*(x3 + x5) + 2.541166*sqrt(-x4 + x6) - 2.541166*log(56.561 - x1) + 28.635998
gomea,1201_BNG_breastTumor,ok,9,200,-0.018829,11.817858,17,2007.06,,1.0e-5*sqrt(-x3*x6 + x7 + x8)/log(-x1*x2 - x3 + x4) + 21.242345
gomea,1203_BNG_pwLinear,ok,10,200,0.275657,3.574904,31,2056.29,,0.431807*x5 + 0.431807*x6*x7 + 0.431807*x6 + 0.431807*(x0 - x5)*(x7 - x9) + 0.431807*(-2.283*x0 + x4 + 1.459)*(x1 + 1.56*x2 + 2.663) - 2.067278
gomea,1595_poker,ok,10,200,-0.081156,1.485725,30,2019.78,,nan
gomea,192_vineyard,ok,2,52,0.676924,2.455454,21,2002.39,,-0.512641*log(x0 - 50.005/x1) + 21.209215 + 20.380042955*log(x0)/x1 - 41.704883273/x1
gomea,197_cpu_act,ok,21,200,0.334994,16.741875,15,2004.54,,95.360443 - 0.530463*sqrt(-(x16 + x6)*(-x12 + x17*x9 + x2)/sqrt(x20))
gomea,201_pol,ok,48,200,0.682594,21.729554,25,2041.86,,(-57.223462*x6*x8*(x24 + x5)*(2*x30 + x4 + x5) - 1175513957.452786*sqrt(-x4 + x7) + 1175513957.452786*sqrt(x5 + x8))/(x6*x8*(x24 + x5)*(2*x30 + x4 + x5))
gomea,210_cloud,ok,5,108,0.946738,0.287281,28,2004.74,,(-0.044307*x3**2 + (0.044307*x1*x2 + 0.044307*x2*x3 + 0.254012031*x2 + 0.555343938*x3 + 0.005225)*log(x0 + x4) + 0.0114682641732283)/log(x0 + x4)
gomea,215_2dplanes,ok,10,200,0.807284,1.435489,25,2002.97,,(x0*(1.167389*x0 + 1.167389*x1 + 1.167389*x2 + 1.167389*x5 - 1.167389*(x0 - 1.469)*(x0 + x4) + 1.262736) + 1.167389*x1 + 1.167389*x2 - 1.167389*x5 + 0.378234036)/x0
gomea,218_house_8L,ok,8,200,0.569315,31650.559943,25,2004.4,,-75426.900728*sqrt(x1)*log(x4) - 75426.900728*x2**2*log(x7) + 75426.900728*x4*x5**2*x6/sqrt(-x2 + x3) + 21772.960776
gomea,225_puma8NH,ok,8,200,0.541293,3.860547,28,2009.08,,-1.67183*(x1 + x2 - x7**2*(x1 + 0.795) - 1)*(x1*x2 + x1 + sqrt(8.342 - x1) - 5.09) + 7.004276
gomea,227_cpu_small,ok,12,200,0.969168,3.60388,18,2032.21,,(x2*(x1 + x10)*(-2.294269*x5 - 2.294269*sqrt(x2**2/(x11 - x2)) + 96.620646) - 2.294269*x7)/(x2*(x1 + x10))
gomea,228_elusage,ok,2,55,0.523979,11.239658,28,2003.71,,(0.035204*x0*x1*(x0 - 54.235) + (x0 - 54.235)*(x0 - 36.573)*(0.035204*(x0 - 150.886)*(x0 + 3.11) + 229.518881) + 0.035204*(x0 - 36.573)*(x1 - 50.253)*log(x0/x1))/((x0 - 54.235)*(x0 - 36.573))
gomea,1027_ESL,ok,4,200,0.882724,0.477208,20,2006.49,,0.112239*(2*x1 + x2 + 7.411)*log((x2*(x0 + x2) - 10.416)/x2)*log(log(x3)) + 2.207502
