algorithm,noise,group,r2_mean,r2_std,r2_valid_count,total_count,recovery_rate,complexity_mean,complexity_std,complexity_count,seconds_mean,seconds_std,seconds_count
sbp,0.0,Feynman,0.9477317394957984,0.21308793063808473,114,119,0.9495798319327731,327.38655462184875,139.050870882463,119,2022.7821848739497,33.516838842328596,119
sbp,0.0,Strogatz,0.927002,0.2571358977105853,13,14,0.9285714285714286,360.2857142857143,136.25943142792437,14,2021.757857142857,31.37636421133662,14
sbp,0.0,Black-box,0.6590401304347827,0.36167814630173384,115,138,0.37681159420289856,419.03007518796994,80.51413174885849,133,2019.595864661654,60.685550510757615,133
sbp,0.001,Feynman,0.9636067647058822,0.1572409283767053,117,119,0.9495798319327731,406.14285714285717,93.59471773810417,119,2019.3794117647055,22.613840087864887,119
sbp,0.001,Strogatz,0.9168384285714285,0.25677556417916914,13,14,0.8571428571428571,414.57142857142856,80.29651681265445,14,2026.5457142857144,33.422821269794866,14
sbp,0.001,Black-box,0.6398493913043478,0.3705562653262363,117,138,0.3188405797101449,434.89629629629627,77.43262534464436,135,2021.400222222222,29.095166391653862,135
sbp,0.01,Feynman,0.9575103109243697,0.17142102120594743,116,119,0.9411764705882353,426.96638655462186,100.41560131664474,119,2020.4349579831928,26.23470694571691,119
sbp,0.01,Strogatz,0.8483595714285714,0.33378095823688114,13,14,0.7857142857142857,426.57142857142856,70.49287125631345,14,2016.122142857143,7.9592059713188545,14
sbp,0.01,Black-box,0.6126194202898552,0.37216877684435506,112,138,0.32608695652173914,422.31851851851854,78.20245822146057,135,2017.875259259259,67.85681247853897,135
sbp,0.1,Feynman,0.7714821680672267,0.32306402414050084,105,119,0.5882352941176471,446.2436974789916,73.00373725745511,119,2020.7586554621848,25.224066003625264,119
sbp,0.1,Strogatz,,,0,0,,,,0,,,0
sbp,0.1,Black-box,0.5299506274509804,0.37283435852457303,113,153,0.17647058823529413,431.17218543046357,78.44648587973538,151,2019.890728476821,29.35366753035414,151
